time room,temperature room,RH room,DP room
2021-12-16 05:50:00,2.26022,75.1806,-1.6827
2021-12-16 06:00:00,2.26022,75.2035,-1.67857
2021-12-16 06:10:00,2.26022,75.1806,-1.6827
2021-12-16 06:20:00,2.26022,75.234,-1.67305
2021-12-16 06:30:00,2.26022,75.2035,-1.67857
2021-12-16 06:40:00,2.26022,75.2035,-1.67857
2021-12-16 06:50:00,2.26022,75.1806,-1.6827
2021-12-16 07:00:00,2.2495,75.234,-1.68343
2021-12-16 07:10:00,2.2495,75.2569,-1.67929
2021-12-16 07:20:00,2.2495,75.2569,-1.67929
2021-12-16 07:30:00,2.2495,75.2035,-1.68895
2021-12-16 07:40:00,2.2495,75.2035,-1.68895
2021-12-16 07:50:00,2.23877,75.2035,-1.69933
2021-12-16 08:00:00,2.23877,75.2569,-1.68968
2021-12-16 08:10:00,2.23877,75.2798,-1.68554
2021-12-16 08:20:00,2.23877,75.234,-1.69382
2021-12-16 08:30:00,2.23877,75.234,-1.69382
2021-12-16 08:40:00,2.23877,75.2035,-1.69933
2021-12-16 08:50:00,2.23877,75.2035,-1.69933
2021-12-16 09:00:00,2.23877,75.234,-1.69382
2021-12-16 09:10:00,2.22805,75.2035,-1.70972
2021-12-16 09:20:00,2.22805,75.234,-1.7042
2021-12-16 09:30:00,2.22805,75.234,-1.7042
2021-12-16 09:40:00,2.22805,75.234,-1.7042
2021-12-16 09:50:00,2.22805,75.234,-1.7042
2021-12-16 10:00:00,2.22805,75.2569,-1.70006
2021-12-16 10:10:00,2.22805,75.234,-1.7042
2021-12-16 10:20:00,2.22805,75.234,-1.7042
2021-12-16 10:30:00,2.22805,75.234,-1.7042
2021-12-16 10:40:00,2.22805,75.2569,-1.70006
2021-12-16 10:50:00,2.22805,75.2798,-1.69593
2021-12-16 11:00:00,2.22805,75.2798,-1.69593
2021-12-16 11:10:00,2.22805,75.3103,-1.69042
2021-12-16 11:20:00,2.21732,75.3332,-1.69667
2021-12-16 11:30:00,2.21732,75.2798,-1.70631
2021-12-16 11:40:00,2.21732,75.2798,-1.70631
2021-12-16 11:50:00,2.21732,75.2798,-1.70631
2021-12-16 12:00:00,2.22805,75.3103,-1.69042
2021-12-16 12:10:00,2.21732,75.3103,-1.7008
2021-12-16 12:20:00,2.21732,75.2798,-1.70631
2021-12-16 12:30:00,2.22805,75.3103,-1.69042
2021-12-16 12:40:00,2.22805,75.3103,-1.69042
2021-12-16 12:50:00,2.22805,75.2798,-1.69593
2021-12-16 13:00:00,2.23877,75.2798,-1.68554
2021-12-16 13:10:00,2.23877,75.2798,-1.68554
2021-12-16 13:20:00,2.23877,75.2798,-1.68554
2021-12-16 13:30:00,2.23877,75.2798,-1.68554
2021-12-16 13:40:00,2.2495,75.3103,-1.66965
2021-12-16 13:50:00,2.2495,75.2798,-1.67516
2021-12-16 14:00:00,2.2495,75.2798,-1.67516
2021-12-16 14:10:00,2.2495,75.2798,-1.67516
2021-12-16 14:20:00,2.2495,75.2798,-1.67516
2021-12-16 14:30:00,2.2495,75.2798,-1.67516
2021-12-16 14:40:00,2.26022,75.2798,-1.66477
2021-12-16 14:50:00,2.2495,75.2798,-1.67516
2021-12-16 15:00:00,2.26022,75.3103,-1.65926
2021-12-16 15:10:00,2.26022,75.3332,-1.65513
2021-12-16 15:20:00,2.26022,75.3332,-1.65513
2021-12-16 15:30:00,2.27095,75.3103,-1.64888
2021-12-16 15:40:00,2.27095,75.2798,-1.65439
2021-12-16 15:50:00,2.27095,75.2798,-1.65439
2021-12-16 16:00:00,2.27095,75.2798,-1.65439
2021-12-16 16:10:00,2.27095,75.3103,-1.64888
2021-12-16 16:20:00,2.27095,75.2798,-1.65439
2021-12-16 16:30:00,2.27095,75.2798,-1.65439
2021-12-16 16:40:00,2.27095,75.2569,-1.65853
2021-12-16 16:50:00,2.28167,75.2569,-1.64814
2021-12-16 17:00:00,2.27095,75.2569,-1.65853
2021-12-16 17:10:00,2.28167,75.2798,-1.64401
2021-12-16 17:20:00,2.27095,75.2798,-1.65439
2021-12-16 17:30:00,2.27095,75.2798,-1.65439
2021-12-16 17:40:00,2.27095,75.3103,-1.64888
2021-12-16 17:50:00,2.26022,75.3103,-1.65926
2021-12-16 18:00:00,2.26022,75.3332,-1.65513
2021-12-16 18:10:00,2.26022,75.3332,-1.65513
2021-12-16 18:20:00,2.26022,75.3332,-1.65513
2021-12-16 18:30:00,2.26022,75.3332,-1.65513
2021-12-16 18:40:00,2.26022,75.4095,-1.64136
2021-12-16 18:50:00,2.26022,75.4095,-1.64136
2021-12-16 19:00:00,2.2495,75.4095,-1.65175
2021-12-16 19:10:00,2.2495,75.4095,-1.65175
2021-12-16 19:20:00,2.2495,75.3866,-1.65587
2021-12-16 19:30:00,2.2495,75.4095,-1.65175
2021-12-16 19:40:00,2.2495,75.3866,-1.65587
2021-12-16 19:50:00,2.23877,75.4095,-1.66213
2021-12-16 20:00:00,2.23877,75.4095,-1.66213
2021-12-16 20:10:00,2.23877,75.4095,-1.66213
2021-12-16 20:20:00,2.23877,75.44,-1.65663
2021-12-16 20:30:00,2.23877,75.44,-1.65663
2021-12-16 20:40:00,2.23877,75.44,-1.65663
2021-12-16 20:50:00,2.22805,75.44,-1.66702
2021-12-16 21:00:00,2.22805,75.44,-1.66702
2021-12-16 21:10:00,2.22805,75.44,-1.66702
2021-12-16 21:20:00,2.22805,75.44,-1.66702
2021-12-16 21:30:00,2.22805,75.44,-1.66702
2021-12-16 21:40:00,2.21732,75.44,-1.6774
2021-12-16 21:50:00,2.21732,75.4629,-1.67328
2021-12-16 22:00:00,2.21732,75.4629,-1.67328
2021-12-16 22:10:00,2.2066,75.4629,-1.68367
2021-12-16 22:20:00,2.2066,75.4629,-1.68367
2021-12-16 22:30:00,2.19587,75.4629,-1.69405
2021-12-16 22:40:00,2.19587,75.4552,-1.69543
2021-12-16 22:50:00,2.19587,75.4629,-1.69405
2021-12-16 23:00:00,2.19587,75.4552,-1.69543
2021-12-16 23:10:00,2.19587,75.4247,-1.70093
2021-12-16 23:20:00,2.19587,75.4247,-1.70093
2021-12-16 23:30:00,2.19587,75.4018,-1.70505
2021-12-16 23:40:00,2.19587,75.4247,-1.70093
2021-12-16 23:50:00,2.19587,75.4018,-1.70505
2021-12-17 00:00:00,2.19587,75.4018,-1.70505
2021-12-17 00:10:00,2.18515,75.4018,-1.71544
2021-12-17 00:20:00,2.18515,75.4247,-1.71132
2021-12-17 00:30:00,2.18515,75.4018,-1.71544
2021-12-17 00:40:00,2.18515,75.4018,-1.71544
2021-12-17 00:50:00,2.17442,75.4247,-1.7217
2021-12-17 01:00:00,2.17442,75.4247,-1.7217
2021-12-17 01:10:00,2.17442,75.4552,-1.7162
2021-12-17 01:20:00,2.17442,75.4552,-1.7162
2021-12-17 01:30:00,2.17442,75.4781,-1.71208
2021-12-17 01:40:00,2.1637,75.4781,-1.72247
2021-12-17 01:50:00,2.1637,75.4781,-1.72247
2021-12-17 02:00:00,2.1637,75.5086,-1.71697
2021-12-17 02:10:00,2.1637,75.5086,-1.71697
2021-12-17 02:20:00,2.1637,75.5315,-1.71285
2021-12-17 02:30:00,2.15297,75.5315,-1.72324
2021-12-17 02:40:00,2.15297,75.5849,-1.71363
2021-12-17 02:50:00,2.15297,75.6078,-1.70951
2021-12-17 03:00:00,2.15297,75.6078,-1.70951
2021-12-17 03:10:00,2.14225,75.6383,-1.71442
2021-12-17 03:20:00,2.14225,75.6383,-1.71442
2021-12-17 03:30:00,2.14225,75.6078,-1.7199
2021-12-17 03:40:00,2.13152,75.6078,-1.73029
2021-12-17 03:50:00,2.13152,75.6383,-1.72481
2021-12-17 04:00:00,2.13152,75.6383,-1.72481
2021-12-17 04:10:00,2.1208,75.6383,-1.7352
2021-12-17 04:20:00,2.1208,75.6383,-1.7352
2021-12-17 04:30:00,2.1208,75.6383,-1.7352
2021-12-17 04:40:00,2.1208,75.6078,-1.74068
2021-12-17 04:50:00,2.11007,75.6078,-1.75107
2021-12-17 05:00:00,2.11007,75.5849,-1.75519
2021-12-17 05:10:00,2.11007,75.6078,-1.75107
2021-12-17 05:20:00,2.11007,75.6078,-1.75107
2021-12-17 05:30:00,2.08862,75.6078,-1.77185
2021-12-17 05:40:00,2.08862,75.6078,-1.77185
2021-12-17 05:50:00,2.08862,75.6078,-1.77185
2021-12-17 06:00:00,2.08862,75.5849,-1.77597
2021-12-17 06:10:00,2.08862,75.6078,-1.77185
2021-12-17 06:20:00,2.08862,75.6078,-1.77185
2021-12-17 06:30:00,2.08862,75.5849,-1.77597
2021-12-17 06:40:00,2.0779,75.5849,-1.78636
2021-12-17 06:50:00,2.0779,75.5849,-1.78636
2021-12-17 07:00:00,2.0779,75.5849,-1.78636
2021-12-17 07:10:00,2.0779,75.5849,-1.78636
2021-12-17 07:20:00,2.0779,75.5849,-1.78636
2021-12-17 07:30:00,2.0779,75.5849,-1.78636
2021-12-17 07:40:00,2.06717,75.5849,-1.79675
2021-12-17 07:50:00,2.0779,75.562,-1.79047
2021-12-17 08:00:00,2.0779,75.5849,-1.78636
2021-12-17 08:10:00,2.06717,75.5849,-1.79675
2021-12-17 08:20:00,2.06717,75.5849,-1.79675
2021-12-17 08:30:00,2.06717,75.6078,-1.79263
2021-12-17 08:40:00,2.06717,75.6078,-1.79263
2021-12-17 08:50:00,2.06717,75.6612,-1.78304
2021-12-17 09:00:00,2.06717,75.6383,-1.78715
2021-12-17 09:10:00,2.08862,75.7375,-1.74856
2021-12-17 09:20:00,2.08862,75.6612,-1.76226
2021-12-17 09:30:00,2.11007,75.6078,-1.75107
2021-12-17 09:40:00,2.11007,75.562,-1.7593
2021-12-17 09:50:00,2.11007,75.562,-1.7593
2021-12-17 10:00:00,2.1208,75.5849,-1.7448
2021-12-17 10:10:00,2.1208,75.5315,-1.75441
2021-12-17 10:20:00,2.13152,75.562,-1.73853
2021-12-17 10:30:00,2.14225,75.5315,-1.73363
2021-12-17 10:40:00,2.14225,75.562,-1.72814
2021-12-17 10:50:00,2.15297,75.562,-1.71775
2021-12-17 11:00:00,2.1637,75.5086,-1.71697
2021-12-17 11:10:00,2.17442,75.562,-1.69697
2021-12-17 11:20:00,2.17442,75.5849,-1.69285
2021-12-17 11:30:00,2.18515,75.5849,-1.68246
2021-12-17 11:40:00,2.19587,75.562,-1.67619
2021-12-17 11:50:00,2.19587,75.5849,-1.67207
2021-12-17 12:00:00,2.2066,75.6231,-1.65482
2021-12-17 12:10:00,2.21732,75.6231,-1.64443
2021-12-17 12:20:00,2.22805,75.6231,-1.63404
2021-12-17 12:30:00,2.22805,75.5926,-1.63953
2021-12-17 12:40:00,2.23877,75.5697,-1.63326
2021-12-17 12:50:00,2.2495,75.5697,-1.62287
2021-12-17 13:00:00,2.2495,75.5697,-1.62287
2021-12-17 13:10:00,2.26022,75.5468,-1.6166
2021-12-17 13:20:00,2.26022,75.5468,-1.6166
2021-12-17 13:30:00,2.27095,75.5163,-1.61171
2021-12-17 13:40:00,2.27095,75.5468,-1.60622
2021-12-17 13:50:00,2.28167,75.5468,-1.59583
2021-12-17 14:00:00,2.28167,75.5468,-1.59583
2021-12-17 14:10:00,2.28167,75.5697,-1.5917
2021-12-17 14:20:00,2.28167,75.5697,-1.5917
2021-12-17 14:30:00,2.2924,75.5697,-1.58132
2021-12-17 14:40:00,2.2924,75.5926,-1.57719
2021-12-17 14:50:00,2.2924,75.5926,-1.57719
2021-12-17 15:00:00,2.28167,75.6231,-1.58209
2021-12-17 15:10:00,2.28167,75.6689,-1.57385
2021-12-17 15:20:00,2.28167,75.6994,-1.56836
2021-12-17 15:30:00,2.28167,75.7223,-1.56425
2021-12-17 15:40:00,2.28167,75.6994,-1.56836
2021-12-17 15:50:00,2.27095,75.7223,-1.57464
2021-12-17 16:00:00,2.27095,75.7223,-1.57464
